county,total
Alachua,13
Baker,0
Bay,2
Bradford,0
Brevard,14
Broward,58
Calhoun,0
Charlotte,11
Citrus,3
Clay,5
Collier,8
Columbia,0
DeSoto,0
Dixie,1
Duval,17
Escambia,4
Flagler,0
Franklin,0
Gadsden,0
Gilchrist,0
Glades,0
Gulf,0
Hamilton,0
Hardee,0
Hendry,1
Hernando,5
Highlands,2
Hillsborough,49
Holmes,0
Indian River,5
Jackson,0
Jefferson,0
Lafayette,0
Lake,5
Lee,19
Leon,18
Levy,0
Liberty,0
Madison,0
Manatee,31
Marion,4
Martin,8
Miami-Dade,81
Monroe,7
Nassau,1
Okaloosa,5
Okeechobee,0
Orange,42
Osceola,6
Palm Beach,59
Pasco,17
Pinellas,51
Polk,16
Putnam,1
Santa Rosa,3
Sarasota,53
Seminole,25
St. Johns,16
St. Lucie,5
Sumter,0
Suwannee,0
Taylor,0
Union,0
Volusia,9
Wakulla,0
Walton,2
Washington,0
