Ref,Round,Rigor,GPA,ACT,SAT,Accepted
892086262,2014 Fall,4,,,1310,1
214816086,2014 Fall,4,,,1150,1
712893018,2014 Fall,4,,,1450,1
59273611,2015 Fall,4,,,1240,1
532244154,2015 Fall,4,,,1190,1
673547000,2015 Fall,3,,,1270,1
486728235,2015 Fall,4,,,1290,1
655868701,2016 Fall,4,,,1310,1
400244699,2017 Fall,3,,,1340,1
379902473,2014 Fall,4,,,1230,1
501083418,2014 Fall,2,,,1400,1
89115496,2014 Fall,2,,,1220,1
126163537,2014 Fall,,,,1550,1
182607404,2014 Fall,4,,,1380,1
328065069,2014 Fall,3,,,1370,1
430890700,2014 Fall,2,,,1440,1
815784211,2014 Fall,3,,32,,1
932076536,2014 Fall,2,,29,,1
204495897,2014 Fall,4,,20,,1
288288735,2014 Fall,4,,,1330,1
405742755,2015 Fall,1,,,1430,1
711035400,2015 Fall,4,,,1470,1
178623750,2015 Fall,4,,,1090,1
258626608,2015 Fall,2,,,1330,1
592625152,2015 Fall,4,,,1130,1
790489050,2015 Fall,4,,,1340,1
846194209,2015 Fall,3,,,1410,1
59613239,2016 Fall,4,,,1130,1
216343829,2016 Fall,4,,,1130,1
266469786,2016 Fall,4,,34,,1
15877398,2017 Fall,3,,,1210,1
168590005,2017 Fall,5,,,1470,1
640934644,2017 Fall,5,,,1300,1
491733433,2017 Fall,4,,,1340,1
5797787,2014 Fall,4,,,1470,1
55298374,2014 Fall,,,29,,1
419177851,2014 Fall,5,,,1450,1
437826317,2014 Fall,4,,29,,1
720374487,2014 Fall,4,,,1560,1
983728289,2014 Fall,4,,,1310,1
1900370,2015 Fall,3,,,1460,1
150971617,2015 Fall,4,,,1430,1
168580098,2015 Fall,4,,,1270,1
507929059,2015 Fall,4,,,1340,1
705715557,2015 Fall,4,,29,1310,1
732401275,2015 Fall,4,,,1230,1
923452116,2015 Fall,3,,,1420,1
498058898,2015 Fall,4,,29,,1
593878369,2015 Fall,2,,31,,1
635899230,2015 Fall,3,,,1300,1
427566739,2016 Fall,3,,,1250,1
556801749,2015 Fall,4,,,1420,1
503210985,2015 Fall,3,,26,,1
993745572,2016 Fall,2,,,1490,1
591120400,2017 Fall,1,4.89,,1560,1
356751273,2015 Fall,3,4.86,,1360,1
308849081,2016 Fall,1,4.85,34,1580,1
615860821,2016 Fall,1,4.85,,1290,1
984891099,2015 Fall,1,4.84,35,1600,1
419794942,2016 Fall,1,4.84,34,1440,1
224792914,2014 Fall,1,4.81,,1490,1
924773998,2014 Fall,1,4.81,34,,1
584971274,2016 Fall,1,4.8,,1440,1
231543653,2014 Fall,1,4.79,,1310,1
672800822,2015 Fall,1,4.79,34,1410,1
156061101,2016 Fall,1,4.79,,1470,1
302753446,2014 Fall,1,4.79,,1510,1
937437705,2016 Fall,2,4.78,33,,1
889687148,2016 Fall,1,4.78,32,1470,1
113160299,2016 Fall,1,4.78,30,1510,1
982357228,2017 Fall,1,4.78,34,1430,1
910066139,2017 Fall,1,4.78,,1440,1
400900927,2015 Fall,2,4.77,33,1420,1
160391672,2014 Fall,1,4.77,35,1490,1
199891883,2015 Fall,1,4.77,,1520,1
748572797,2016 Fall,1,4.77,,1580,1
649944101,2014 Fall,1,4.77,,1390,1
968658722,2015 Fall,1,4.76,31,1500,1
566763003,2017 Fall,1,4.76,27,1240,1
130564166,2014 Fall,1,4.76,34,1540,1
328285029,2017 Fall,1,4.76,34,1580,1
425296830,2017 Fall,1,4.76,34,1520,1
129089671,2017 Fall,1,4.76,25,,1
67564183,2016 Fall,1,4.75,24,,1
165649649,2017 Fall,1,4.75,33,1440,1
75279680,2017 Fall,1,4.75,32,1430,1
977312730,2017 Fall,1,4.75,,1500,1
986933157,2014 Fall,2,4.74,30,1480,1
223290412,2016 Fall,1,4.74,28,1370,1
808275783,2014 Fall,1,4.74,,1230,1
933462300,2014 Fall,1,4.74,30,1480,1
507622986,2016 Fall,1,4.74,30,,1
365915682,2017 Fall,1,4.74,34,1550,1
995132477,2014 Fall,1,4.74,,1310,1
71163455,2015 Fall,2,4.74,,1530,1
449043360,2017 Fall,1,4.74,,1570,1
336948031,2017 Fall,1,4.73,32,,1
468148356,2015 Fall,1,4.73,31,,1
427149108,2017 Fall,1,4.73,32,1410,1
885227788,2015 Fall,1,4.73,30,1480,1
211990412,2015 Fall,1,4.73,26,1540,1
900833964,2016 Fall,1,4.73,,1430,1
162056838,2014 Fall,1,4.73,28,,1
987249995,2014 Fall,1,4.73,32,,1
126862276,2016 Fall,1,4.73,33,1590,1
542925672,2016 Fall,1,4.72,28,1410,1
56334927,2016 Fall,1,4.72,35,,1
66828496,2017 Fall,1,4.72,33,1420,1
475057300,2017 Fall,1,4.72,,1100,1
37501089,2015 Fall,1,4.72,32,1370,1
487750661,2015 Fall,1,4.72,32,1420,1
18480863,2017 Fall,3,4.72,34,1470,1
847189099,2017 Fall,1,4.72,,1320,1
785121599,2017 Fall,1,4.72,31,,1
331384974,2015 Fall,1,4.71,,1480,1
145174619,2015 Fall,1,4.71,,1410,1
788052324,2015 Fall,4,4.71,,1410,1
869314278,2015 Fall,1,4.71,,1410,1
413731541,2016 Fall,2,4.71,28,1480,1
126880501,2015 Fall,1,4.71,28,,1
927207081,2016 Fall,1,4.71,,1590,1
865166130,2017 Fall,1,4.71,34,,1
17244584,2014 Fall,1,4.71,34,1480,1
704873730,2015 Fall,1,4.71,,1450,1
127094505,2016 Fall,1,4.7,31,1340,1
48511967,2015 Fall,1,4.7,,1150,1
